title,Translated content,size_table
"Lasten Premium College","Kestävä peruscollege istutetuilla hihoilla. Väri Navy ollut partiolaisten suosiossa vuosikausia.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Istutetut hihat
• Kaulus, helma ja hihansuut puuvilla-elastaania
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: 104 - 164 cm","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>3-4/104cm</td>
<td>38,5</td>
<td>42</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>41</td>
<td>48</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43,5</td>
<td>54</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>51</td>
<td>64</td>
</tr>
<tr>
<td>14-15/164cm</td>
<td>56</td>
<td>68</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Premium Zip Neck College","• Materiaali: 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Sopii erinomaisesti brodeerattavaksi
• Päällystetty ¼-vetoketju
• Pystykauluksessa vahvistettu niskasauma
• Puuvilla/elastaaniribbi hihansuissa ja helmassa

Koot: S - XXL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>52</td>
<td>65</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>68</td>
</tr>
<tr>
<td>L</td>
<td>60</td>
<td>71</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>74</td>
</tr>
<tr>
<td>XXL</td>
<td>68</td>
<td>77</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Premium Vetoketjuhuppari","Premium-laatuinen, miellyttävän pehmeä puuvilla-polyesterivetoketjuhuppari. Sileän pinnan ansiosta soveltuu hyvin painatukseen.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Päällystetty metallivetoketju
• Helmassa ja hihansuissa puuvilla-elastaaniribbi
• Harjattu sisäpinta
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: S - XXL (Black, Deep Navy ja Heather Grey S - 4XL)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>52</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>60</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>68</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>72</td>
<td>81</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>83,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Lasten Premium Huppari","• Materiaali: 70% puuvillaa, 30% polyesteriä
• Paino: 280g/m²
• Kaksinkertainen huppu
• Edessä kengurutasku
• Turvallisuussyistä ilman kiristinnyöriä EU-säännösten mukaisesti","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>41</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43,5</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>14-16/164cm</td>
<td>56</td>
<td>71</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Lasten Classic Vetoketjuhuppari","• Materiaali: 80% Belcoro® -kudottua puuvillaa, 20% polyesteriä
• Paino: 280g/m²
• Belcorolangan ansiosta pehmeä ja tasainen pinta
• Vahvistettu niskasauma
• Päällystetty kapea vetoketju mahdollistaa suuret etupainatukset
• Kaksinkertainen huppu ilman säätönyöriä
• Kaksi etutaskua
• Vyötäröllä ja hihansuissa puuvilla/lycra -ribbineulos","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>41</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43,5</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>14-16/164cm</td>
<td>56</td>
<td>71</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Classic Vetoketjuhuppari","Edullinen, vuodesta toiseen supersuosittu, klassinen vetoketjuhuppari.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Puuvilla/Lycra®-resorit
• Kaksoistikkaukset kaikissa saumoissa
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot: S - XXL (Black S - 5XL)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>52</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>60</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>64</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>68</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>72</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81</td>
</tr>
<tr>
<td>5XL</td>
<td>80</td>
<td>82</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Naisten Premium College Full Zip","• Materiaali: 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Päällystetty vetoketju mahdollistaa isot etupainatukset
• Pystykaulus
• Raglanhihat
• Kaksi sivutaskua
• Puuvilla-elastaani neulos hihansuissa ja helmassa

Koot: XS - XXL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>46</td>
<td>62</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>63,5</td>
</tr>
<tr>
<td>M</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>L</td>
<td>53,5</td>
<td>66,5</td>
</tr>
<tr>
<td>XL</td>
<td>56</td>
<td>68</td>
</tr>
<tr>
<td>XXL</td>
<td>58,5</td>
<td>69,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Naisten Premium Vetoketjuhuppari","Premium-laatuinen, miellyttävän pehmeä puuvilla-polyesterivetoketjuhuppari. Sileän pinnan ansiosta soveltuu hyvin painatukseen.

• 70 % puuvillaa, 30 % polyesteriä
• Paino: 280 g/m²
• Miellyttävän pehmeä ja sileä materiaali
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Päällystetty metallivetoketju
• Helmassa ja hihansuissa puuvilla-elastaaniribbi
• Harjattu sisäpinta
• Valmistusmaa Egypti
• Tullikoodi 6112099

Koot: S - XXL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>46</td>
<td>62</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>63,5</td>
</tr>
<tr>
<td>M</td>
<td>51</td>
<td>65</td>
</tr>
<tr>
<td>L</td>
<td>53,5</td>
<td>66,5</td>
</tr>
<tr>
<td>XL</td>
<td>56</td>
<td>68</td>
</tr>
<tr>
<td>XXL</td>
<td>58,5</td>
<td>69,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>2</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Classic College","Tuttu Classic-sarjan peruscollege jokapäiväiseen käyttöön.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², White ja Heather Grey 260 g/m²
• Puuvilla/Lycra®-resori kauluksessa, hihansuissa ja helmassa
• Vahvistetut olka- ja niskasaumat
• Istutetut hihat
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot: 
S - 3XL Bottle Green, Red ja Royal Blue
S - 4XL White
S - 5XL Black, Deep Navy, Heather Grey ja Navy","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>51</td>
<td>66</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>68,5</td>
</tr>
<tr>
<td>L</td>
<td>61</td>
<td>72</td>
</tr>
<tr>
<td>XL</td>
<td>63,5</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>68,5</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>73,5</td>
<td>81</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>82</td>
</tr>
<tr>
<td>5XL</td>
<td>80</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Classic Huppari","Perushuppari, todellinen bestselleri. Hyvä koko- ja värivalikoima.

• 80 % puuvillaa, 20 % polyesteriä
• Paino: 280 g/m², Heather Grey ja White 260 g/m²
• Kaksinkertainen huppu, jossa kankaanvärinen nyöri
• Iso kengurutasku
• Harjattu sisäpinta
• Valmistusmaa Marokko
• Tullikoodi 6112099

Koot:
S - XXL Azure Blue, Light Pink, Orange ja Sunflower
S - 3XL Bottle Green, Burgundy, Red ja Royal Blue
S - 4XL Navy ja White
S - 5XL Black, Deep Navy ja Heather Grey","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>51</td>
<td>67</td>
</tr>
<tr>
<td>M</td>
<td>56</td>
<td>69,5</td>
</tr>
<tr>
<td>L</td>
<td>61</td>
<td>73,5</td>
</tr>
<tr>
<td>XL</td>
<td>63,5</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>68,5</td>
<td>80</td>
</tr>
<tr>
<td>3XL</td>
<td>73,5</td>
<td>83</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>84</td>
</tr>
<tr>
<td>5XL</td>
<td>80</td>
<td>85</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
